window,pickup_borough,dropoff_borough,count
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",,Queens,3
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Queens,,3
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",,,7
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Queens,Brooklyn,7
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Queens,Manhattan,21
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Manhattan,,3
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Manhattan,Brooklyn,14
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Manhattan,Bronx,4
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Queens,Manhattan,14
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Brooklyn,Manhattan,7
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Manhattan,Queens,31
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",,,15
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Manhattan,Bronx,9
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Manhattan,Brooklyn,20
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Brooklyn,Queens,1
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Queens,Brooklyn,1
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Manhattan,Brooklyn,33
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Queens,Manhattan,15
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",,,6
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Manhattan,Queens,24
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Brooklyn,Manhattan,6
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Manhattan,Bronx,4
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",,Manhattan,1
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Manhattan,,4
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Brooklyn,Queens,5
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Manhattan,Brooklyn,35
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Manhattan,Queens,33
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Queens,Manhattan,12
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",,,18
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Queens,Brooklyn,1
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Brooklyn,Manhattan,5
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Manhattan,Bronx,2
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Manhattan,,5
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",,Manhattan,2
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Brooklyn,Queens,1
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Manhattan,Brooklyn,41
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Queens,Brooklyn,3
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Manhattan,Queens,51
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Queens,Manhattan,17
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",,Queens,1
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",,,10
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Brooklyn,Queens,1
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Brooklyn,Manhattan,10
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Manhattan,Bronx,6
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Queens,,1
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Manhattan,,6
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Manhattan,Brooklyn,34
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Brooklyn,Manhattan,3
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Manhattan,Queens,38
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Queens,Manhattan,7
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Manhattan,Bronx,5
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Manhattan,,3
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",,,11
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Queens,,1
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Brooklyn,Queens,1
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Queens,Brooklyn,2
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Manhattan,Staten Island,1
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",,Manhattan,1
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Manhattan,Brooklyn,38
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Queens,Manhattan,16
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Manhattan,Queens,28
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Brooklyn,Manhattan,11
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",,,13
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Manhattan,Bronx,7
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Brooklyn,Queens,1
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Queens,Bronx,2
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Queens,,1
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Manhattan,,3
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Queens,Staten Island,1
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Queens,Brooklyn,1
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Manhattan,Brooklyn,35
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Queens,Brooklyn,2
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Manhattan,Queens,38
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Brooklyn,Manhattan,9
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Queens,Manhattan,12
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",,,11
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Manhattan,Bronx,5
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Bronx,Manhattan,1
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Manhattan,Staten Island,1
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Manhattan,,1
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Brooklyn,Queens,2
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Queens,,1
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",,Manhattan,1
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Manhattan,Brooklyn,23
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Queens,Brooklyn,3
"Row(start=Timestamp('2024-06-09 18:00:00'), end=Timestamp('2024-06-09 19:00:00'))",Brooklyn,Manhattan,5
